Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Oregon St,Pac 12,56-6,0.903,1,9.35,1,11.15,27,9.98,1,6.98,0.23,42,7.32
Louisville,Atlantic Coast,53-12,0.815,2,9.04,3,10.63,13,10.62,7,5.83,0.25,73,6.88
North Carolina,Atlantic Coast,49-14,0.778,3,9.00,2,10.83,10,10.81,6,5.83,0.08,31,7.54
LSU,Southeastern,52-20,0.722,4,8.92,5,10.44,12,10.65,11,5.60,0.25,18,7.74
TCU,Big 12,50-18,0.735,5,8.87,6,10.23,17,10.40,8,5.65,0.29,24,7.63
Florida,Southeastern,52-19,0.732,6,8.86,13,9.71,57,9.57,5,5.95,0.17,4,8.07
Stanford,Pac 12,42-16,0.724,7,8.85,12,9.88,23,10.06,9,5.63,0.25,5,8.03
Texas Tech,Big 12,45-17,0.726,8,8.83,7,10.23,16,10.48,12,5.57,0.36,29,7.56
Florida St,Atlantic Coast,46-23,0.667,9,8.81,4,10.56,3,11.16,16,5.23,0.14,17,7.75
Kentucky,Southeastern,43-23,0.652,10,8.76,8,10.20,7,11.01,22,5.01,0.33,14,7.80
Southern Miss,Conference USA,50-16,0.758,11,8.73,10,9.99,2,11.40,50,4.41,0.13,71,6.89
Arkansas,Southeastern,45-19,0.703,12,8.72,14,9.66,20,10.20,14,5.27,0.15,41,7.34
Long Beach St,Big West,42-20-1,0.675,13,8.69,18,9.40,83,9.23,3,5.98,0.30,12,7.85
Virginia,Atlantic Coast,43-16,0.729,14,8.68,17,9.54,8,10.91,47,4.45,0.29,81,6.70
CS Fullerton,Big West,39-24,0.619,15,8.67,11,9.93,40,9.78,4,5.97,0.23,6,8.01
Wake Forest,Atlantic Coast,43-20,0.683,16,8.66,15,9.65,4,11.13,54,4.34,0.26,43,7.32
Vanderbilt,Southeastern,36-25-1,0.589,17,8.64,9,10.16,9,10.87,19,5.11,0.09,7,7.91
Texas,Big 12,39-24,0.619,18,8.63,16,9.55,78,9.29,2,6.08,0.30,8,7.89
Clemson,Atlantic Coast,42-21,0.667,19,8.62,21,9.09,33,9.91,24,5.00,0.16,23,7.67
Texas A&M,Southeastern,41-23,0.641,20,8.57,22,9.08,36,9.84,20,5.06,0.07,40,7.39
Arizona,Pac 12,38-21,0.644,21,8.55,20,9.21,15,10.49,42,4.54,0.33,45,7.29
Mississippi St,Southeastern,40-27,0.597,22,8.51,35,8.61,46,9.72,32,4.71,0.08,9,7.88
San Diego,West Coast,35-18-1,0.657,23,8.48,36,8.59,26,10.01,51,4.40,0.23,47,7.28
UCLA,Pac 12,30-27,0.526,24,8.48,19,9.21,66,9.40,10,5.63,0.23,2,8.16
Houston,American Athletic,42-21,0.667,25,8.47,24,8.89,45,9.72,26,4.98,0.24,74,6.86
South Carolina,Southeastern,35-25,0.583,26,8.47,32,8.63,79,9.28,17,5.16,0.10,10,7.87
San Diego St,Mountain West,42-21,0.667,27,8.47,33,8.62,31,9.93,44,4.51,0.15,52,7.16
Loy Marymount,West Coast,38-18,0.679,28,8.47,37,8.55,69,9.38,27,4.98,0.11,61,7.09
NC State,Atlantic Coast,36-25,0.590,29,8.45,23,8.90,25,10.05,35,4.67,0.24,33,7.50
Gonzaga,West Coast,33-20,0.623,30,8.44,38,8.49,76,9.30,21,5.01,0.32,36,7.47
West Virginia,Big 12,36-26,0.581,31,8.43,29,8.78,38,9.82,31,4.78,0.23,28,7.57
Sam Houston St,Southland,44-23,0.657,32,8.42,27,8.81,32,9.93,33,4.70,0.05,85,6.65
Baylor,Big 12,34-23,0.596,33,8.41,51,8.04,44,9.73,64,4.13,0.26,26,7.60
Missouri St,Missouri Val,43-20,0.683,34,8.40,30,8.74,28,9.97,38,4.59,0.23,93,6.48
Louisiana Tech,Conference USA,36-20,0.643,35,8.39,25,8.87,18,10.27,49,4.42,0.21,96,6.45
BYU,West Coast,38-21,0.644,36,8.39,26,8.82,6,11.05,104,3.59,0.30,82,6.67
Mississippi,Southeastern,32-25,0.561,37,8.38,43,8.22,113,8.81,15,5.23,0.19,19,7.73
Missouri,Southeastern,36-23,0.610,38,8.37,44,8.21,63,9.48,39,4.55,0.19,58,7.09
UCF,American Athletic,40-22,0.645,39,8.36,31,8.68,73,9.36,18,5.14,0.26,90,6.56
St Mary's CA,West Coast,37-20,0.649,40,8.35,60,7.80,56,9.63,75,3.98,0.22,60,7.09
South Alabama,Sun Belt,40-21,0.656,41,8.35,34,8.61,14,10.52,83,3.90,0.17,104,6.30
Oregon,Pac 12,30-25,0.545,42,8.33,46,8.15,134,8.57,13,5.40,0.17,15,7.77
Auburn,Southeastern,37-26,0.587,43,8.33,45,8.17,62,9.48,45,4.50,0.20,48,7.26
Utah,Pac 12,27-24,0.529,44,8.32,39,8.47,43,9.73,40,4.55,0.09,22,7.68
SE Louisiana,Southland,37-22,0.627,45,8.31,47,8.12,24,10.05,85,3.88,0.24,77,6.81
Michigan,Big 10,42-17,0.712,46,8.30,48,8.11,72,9.38,41,4.55,0.34,121,5.95
South Florida,American Athletic,42-19,0.689,47,8.30,57,7.89,95,9.10,37,4.61,0.35,105,6.30
Rice,Conference USA,33-31,0.516,48,8.30,50,8.06,35,9.85,72,4.03,0.06,13,7.84
Oklahoma,Big 12,35-24,0.593,49,8.29,56,7.90,52,9.66,69,4.06,0.37,65,6.97
New Mexico,Mountain West,30-27-1,0.526,50,8.29,28,8.79,1,11.45,139,3.16,0.34,46,7.28
Oklahoma St,Big 12,30-27,0.526,51,8.29,49,8.09,47,9.68,60,4.22,0.12,20,7.68
Charlotte,Conference USA,34-24,0.586,52,8.28,40,8.43,42,9.74,43,4.51,0.20,79,6.74
Washington,Pac 12,28-26,0.519,53,8.28,42,8.25,92,9.12,28,4.95,0.10,25,7.61
Fresno St,Mountain West,35-25,0.583,54,8.27,41,8.38,11,10.81,118,3.39,0.24,66,6.97
California,Pac 12,25-29,0.463,55,8.26,64,7.67,30,9.93,107,3.56,0.37,1,8.45
Miami FL,Atlantic Coast,30-27,0.526,56,8.25,63,7.75,135,8.57,23,5.01,0.13,16,7.76
Old Dominion,Conference USA,37-21,0.638,57,8.24,62,7.79,58,9.55,70,4.06,0.34,98,6.44
FL Atlantic,Conference USA,35-21-1,0.623,58,8.23,53,7.99,29,9.96,87,3.85,0.34,91,6.49
Coastal Car,Sun Belt,37-19-1,0.658,59,8.20,59,7.82,53,9.65,74,3.99,0.17,113,6.10
McNeese St,Southland,37-20,0.649,60,8.19,66,7.65,49,9.68,93,3.79,0.29,120,5.95
Indiana,Big 10,34-24-2,0.583,61,8.19,65,7.67,60,9.54,78,3.95,0.18,68,6.94
Louisiana,Sun Belt,35-21-1,0.623,62,8.18,74,7.42,152,8.35,30,4.89,0.22,110,6.25
Cal Poly,Big West,28-28,0.500,63,8.18,54,7.94,115,8.77,25,4.98,0.23,37,7.45
Dallas Bap,Missouri Val,42-21,0.667,64,8.18,76,7.40,22,10.13,145,3.09,0.25,122,5.94
Oral Roberts,Summit Lg,43-16,0.729,65,8.17,61,7.80,90,9.17,48,4.45,0.17,232,4.59
Nebraska,Big 10,35-22-1,0.612,66,8.17,67,7.65,103,8.98,46,4.49,0.32,92,6.48
St John's,Big East,42-13,0.764,67,8.17,70,7.54,68,9.38,77,3.97,0.29,226,4.64
Georgia Tech,Atlantic Coast,27-28,0.491,68,8.17,58,7.87,21,10.15,108,3.54,0.21,39,7.40
Duke,Atlantic Coast,30-28,0.517,69,8.17,55,7.91,54,9.65,66,4.08,0.19,70,6.92
Kansas St,Big 12,29-26,0.527,70,8.16,68,7.64,48,9.68,94,3.77,0.22,56,7.10
Tennessee,Southeastern,27-25,0.519,71,8.16,71,7.53,128,8.65,34,4.70,0.11,44,7.31
Kansas,Big 12,30-28,0.517,72,8.14,79,7.32,94,9.10,71,4.03,0.17,49,7.22
Maryland,Big 10,38-23,0.623,73,8.14,69,7.58,64,9.45,79,3.95,0.30,112,6.18
FGCU,Atlantic Sun,43-20,0.683,74,8.13,86,7.09,114,8.80,65,4.11,0.24,126,5.84
Minnesota,Big 10,36-21,0.632,75,8.12,81,7.20,96,9.09,80,3.92,0.01,107,6.29
Michigan St,Big 10,29-23,0.558,76,8.10,52,8.00,87,9.21,36,4.62,0.14,103,6.31
East Carolina,American Athletic,32-28,0.533,77,8.09,73,7.42,67,9.40,88,3.84,0.13,78,6.76
Hawaii,Big West,28-23,0.549,78,8.08,88,7.07,141,8.52,53,4.36,0.12,67,6.94
Connecticut,American Athletic,33-25,0.569,79,8.07,84,7.15,132,8.59,52,4.39,0.20,84,6.65
UT San Antonio,Conference USA,29-28,0.509,80,8.07,72,7.45,50,9.66,103,3.60,0.05,75,6.84
Arizona St,Pac 12,23-32,0.418,81,8.06,91,6.99,77,9.29,109,3.52,0.21,3,8.13
IL Chicago,Horizon,39-17,0.696,82,8.06,75,7.40,157,8.31,29,4.92,0.25,222,4.68
Ga Southern,Sun Belt,38-21,0.644,83,8.06,82,7.17,102,8.98,73,4.01,0.16,133,5.75
Georgia,Southeastern,25-32,0.439,84,8.04,87,7.07,112,8.83,68,4.07,0.10,21,7.68
Iowa,Big 10,39-22,0.639,85,8.04,85,7.10,84,9.22,99,3.70,0.14,145,5.62
UC Santa Barbara,Big West,24-32,0.429,86,8.02,78,7.35,74,9.35,91,3.81,0.27,32,7.53
Florida Intl,Conference USA,31-27,0.534,87,8.02,90,7.05,55,9.65,135,3.22,0.18,87,6.61
Tulane,American Athletic,27-31,0.466,88,7.99,105,6.57,70,9.38,155,3.01,0.19,34,7.49
San Francisco,West Coast,29-28,0.509,89,7.99,77,7.36,109,8.93,57,4.25,0.37,94,6.47
New Mexico St,Western Athletic,35-22,0.614,90,7.97,83,7.16,41,9.77,136,3.21,0.24,179,5.13
Washington St,Pac 12,24-29,0.453,91,7.97,102,6.61,99,9.06,120,3.37,0.30,35,7.48
UT Arlington,Sun Belt,30-25,0.545,92,7.96,89,7.05,125,8.66,62,4.21,0.11,108,6.29
Mercer,Southern,39-17,0.696,93,7.95,108,6.52,81,9.27,148,3.06,0.11,198,4.93
UC Irvine,Big West,23-33,0.411,94,7.95,98,6.82,82,9.24,117,3.39,0.22,27,7.60
Jacksonville,Atlantic Sun,36-24,0.600,95,7.94,107,6.53,140,8.53,90,3.82,0.21,125,5.86
Xavier,Big East,34-27,0.557,96,7.93,92,6.96,91,9.15,102,3.63,0.34,123,5.92
USC,Pac 12,21-34,0.382,97,7.93,117,6.42,104,8.97,131,3.27,0.16,11,7.87
Liberty,Big South,32-23,0.582,98,7.93,80,7.27,51,9.66,115,3.43,0.07,149,5.60
UC Riverside,Big West,22-32,0.407,99,7.93,99,6.66,119,8.74,97,3.74,0.11,30,7.56
Boston College,Atlantic Coast,25-28,0.472,100,7.92,110,6.49,145,8.44,86,3.87,0.23,55,7.14
Tennessee Tech,OH Valley,41-21,0.661,101,7.91,96,6.84,34,9.85,170,2.80,0.15,196,4.96
UNC Greensboro,Southern,36-24,0.600,102,7.90,94,6.85,65,9.43,133,3.24,0.15,175,5.20
CS Northridge,Big West,26-29,0.473,103,7.90,116,6.43,120,8.74,111,3.50,0.17,64,6.98
Lamar,Southland,33-25,0.569,104,7.89,97,6.84,89,9.19,113,3.47,0.23,152,5.53
Notre Dame,Atlantic Coast,26-32,0.448,105,7.88,112,6.46,185,8.01,56,4.27,0.29,57,7.10
New Orleans,Southland,30-28-1,0.517,106,7.88,95,6.85,97,9.09,105,3.58,0.20,128,5.83
Troy,Sun Belt,31-25,0.554,107,7.87,114,6.44,136,8.56,100,3.70,0.18,116,6.02
Wright St,Horizon,38-21,0.644,108,7.87,113,6.45,151,8.35,82,3.91,0.21,174,5.21
Grand Canyon,Western Athletic,29-25,0.537,109,7.87,106,6.54,98,9.06,129,3.29,0.31,114,6.04
Yale,Ivy League,34-18,0.654,110,7.86,131,6.08,75,9.31,186,2.59,0.25,160,5.41
Kent,Mid-American,37-18,0.673,111,7.85,119,6.37,167,8.22,76,3.97,0.16,206,4.88
Memphis,American Athletic,30-29,0.508,112,7.85,127,6.13,86,9.21,176,2.74,0.08,100,6.37
Pittsburgh,Atlantic Coast,23-30,0.434,113,7.85,101,6.63,148,8.37,67,4.08,0.21,76,6.81
UC Davis,Big West,21-30,0.412,114,7.85,100,6.66,116,8.77,98,3.71,0.14,54,7.14
Cent Arkansas,Southland,34-26,0.567,115,7.85,120,6.37,139,8.54,101,3.65,0.25,135,5.71
North Florida,Atlantic Sun,33-24,0.579,116,7.85,93,6.95,138,8.54,59,4.22,0.20,173,5.23
Binghamton,America East,30-13,0.698,117,7.85,118,6.41,189,7.98,58,4.25,0.24,233,4.59
Cincinnati,American Athletic,28-30,0.483,118,7.84,126,6.24,156,8.32,96,3.74,0.19,83,6.67
Virginia Tech,Atlantic Coast,23-32,0.418,119,7.83,109,6.51,39,9.79,192,2.54,0.33,59,7.09
CS Bakersfield,Western Athletic,32-24,0.571,120,7.82,130,6.09,93,9.11,171,2.80,0.23,132,5.77
Seton Hall,Big East,29-24,0.547,121,7.82,115,6.44,196,7.93,55,4.32,0.12,150,5.60
Bethune-Cookman,Mid-Eastern AC,36-25,0.590,122,7.82,123,6.33,127,8.65,112,3.50,0.29,168,5.28
Pepperdine,West Coast,20-32,0.385,123,7.80,122,6.35,193,7.95,61,4.22,0.22,50,7.21
MTSU,Conference USA,24-31,0.436,124,7.79,135,6.02,37,9.82,223,2.02,0.20,69,6.94
Wichita St,Missouri Val,28-30,0.483,125,7.79,125,6.25,121,8.73,125,3.34,0.40,101,6.34
Alabama,Southeastern,19-34-1,0.361,126,7.77,104,6.57,111,8.84,106,3.56,0.18,72,6.89
Air Force,Mountain West,27-26,0.509,127,7.77,124,6.29,5,11.11,272,1.00,0.20,124,5.90
Samford,Southern,33-26,0.559,128,7.76,132,6.07,147,8.38,110,3.51,0.24,154,5.51
Delaware,Colonial,34-23,0.596,129,7.76,103,6.57,71,9.38,152,3.02,0.38,210,4.83
Houston Bap,Southland,29-25,0.537,130,7.76,133,6.04,217,7.68,63,4.18,0.25,136,5.71
Illinois,Big 10,23-28,0.451,131,7.74,129,6.10,107,8.94,157,2.97,0.10,99,6.41
Purdue,Big 10,29-27,0.518,132,7.74,149,5.70,171,8.18,124,3.34,0.19,118,5.99
Furman,Southern,33-28,0.541,133,7.73,111,6.48,101,9.05,134,3.24,0.35,170,5.27
Indiana St,Missouri Val,29-26,0.527,134,7.73,121,6.37,150,8.36,89,3.82,0.25,156,5.47
VCU,Atlantic 10,35-22,0.614,135,7.72,128,6.13,172,8.18,95,3.77,0.24,211,4.82
SF Austin,Southland,29-28,0.509,136,7.72,139,5.92,131,8.61,140,3.13,0.31,134,5.74
CS Sacramento,Western Athletic,32-29,0.525,137,7.71,136,6.00,198,7.92,84,3.89,0.20,143,5.64
Nevada,Mountain West,19-36,0.345,138,7.70,144,5.78,159,8.27,126,3.33,0.16,38,7.41
Texas St,Sun Belt,29-30,0.492,139,7.69,148,5.71,85,9.22,202,2.31,0.20,127,5.83
Rhode Island,Atlantic 10,31-22,0.585,140,7.68,145,5.76,169,8.21,121,3.36,0.27,178,5.14
W Carolina,Southern,28-28,0.500,141,7.68,134,6.03,80,9.28,188,2.56,0.30,151,5.59
Marshall,Conference USA,25-29,0.463,142,7.67,160,5.38,133,8.58,183,2.62,0.22,95,6.47
Northwestern,Big 10,27-30,0.474,143,7.67,146,5.72,170,8.20,123,3.34,0.13,117,6.01
Morehead St,OH Valley,36-23,0.610,144,7.67,137,5.98,19,10.26,254,1.54,0.39,239,4.44
Davidson,Atlantic 10,35-26,0.574,145,7.66,142,5.82,108,8.94,180,2.70,0.09,190,5.04
Dartmouth,Ivy League,22-17-1,0.563,146,7.65,143,5.80,153,8.34,130,3.28,0.19,189,5.04
Stetson,Atlantic Sun,27-29,0.482,147,7.65,138,5.94,194,7.95,92,3.81,0.03,140,5.65
Ohio St,Big 10,22-34,0.393,148,7.63,150,5.68,144,8.48,153,3.01,0.05,88,6.60
Arkansas St,Sun Belt,28-27,0.509,149,7.62,161,5.37,123,8.70,195,2.49,0.19,155,5.49
UNC Wilmington,Colonial,30-29,0.508,150,7.61,141,5.82,122,8.71,160,2.93,0.42,165,5.35
Col Charleston,Colonial,28-31,0.475,151,7.61,152,5.59,142,8.52,163,2.89,0.25,131,5.78
Winthrop,Big South,34-24,0.586,152,7.61,164,5.28,188,7.99,142,3.12,0.15,186,5.05
UAB,Conference USA,24-31,0.436,153,7.61,163,5.30,212,7.73,119,3.39,0.19,109,6.26
San Jose St,Mountain West,19-35-1,0.355,154,7.60,170,5.17,173,8.17,168,2.81,0.25,51,7.19
Jacksonville St,OH Valley,30-26,0.536,155,7.60,156,5.50,165,8.24,146,3.08,0.28,171,5.26
William & Mary,Colonial,32-25,0.561,156,7.60,159,5.38,149,8.37,167,2.82,0.32,188,5.05
SE Missouri St,OH Valley,29-26,0.527,157,7.59,140,5.86,105,8.97,179,2.71,0.39,193,5.02
Nicholls St,Southland,29-27,0.518,158,7.58,177,5.03,233,7.44,116,3.41,0.14,153,5.52
Columbia,Ivy League,18-23,0.439,159,7.58,147,5.72,88,9.19,200,2.35,0.04,119,5.95
UNLV,Mountain West,20-36,0.357,160,7.57,155,5.51,126,8.65,182,2.67,0.23,80,6.72
Kennesaw,Atlantic Sun,25-32,0.439,161,7.55,154,5.54,118,8.76,184,2.60,0.08,137,5.71
ETSU,Southern,30-29,0.508,162,7.55,153,5.55,59,9.54,235,1.83,0.26,176,5.16
Belmont,OH Valley,31-29,0.517,163,7.55,171,5.16,175,8.13,166,2.85,0.20,169,5.28
St Louis,Atlantic 10,35-22,0.614,164,7.54,158,5.40,177,8.11,143,3.11,0.21,250,4.15
Creighton,Big East,24-25,0.490,165,7.53,167,5.26,251,7.16,81,3.92,0.25,164,5.35
Ball St,Mid-American,30-28,0.517,166,7.53,157,5.44,166,8.23,150,3.03,0.06,182,5.11
High Point,Big South,30-23,0.566,167,7.52,187,4.83,215,7.71,159,2.94,0.20,205,4.91
Presbyterian,Big South,32-29,0.525,168,7.51,172,5.09,184,8.02,162,2.89,0.10,181,5.11
Lipscomb,Atlantic Sun,28-28,0.500,169,7.51,168,5.23,163,8.24,169,2.81,0.16,195,4.98
Pacific,West Coast,18-35,0.340,170,7.51,178,5.01,160,8.27,191,2.56,0.28,62,7.02
Cornell,Ivy League,21-17,0.553,171,7.50,165,5.27,183,8.03,147,3.06,0.15,223,4.68
Northeastern,Colonial,29-25,0.537,172,7.49,186,4.90,176,8.13,185,2.59,0.26,208,4.85
Austin Peay,OH Valley,28-30,0.483,173,7.49,180,4.97,110,8.86,227,1.93,0.16,159,5.42
Ark Little Rock,Sun Belt,21-34,0.382,174,7.48,151,5.66,146,8.42,149,3.06,0.29,148,5.60
C Michigan,Mid-American,31-28,0.525,175,7.48,181,4.96,143,8.48,203,2.29,0.14,191,5.04
Rutgers,Big 10,19-34,0.358,176,7.46,184,4.91,124,8.69,219,2.04,0.22,97,6.45
Wofford,Southern,28-30,0.483,177,7.46,162,5.36,100,9.05,214,2.13,0.16,199,4.93
S Illinois,Missouri Val,27-30,0.474,178,7.46,190,4.81,211,7.74,164,2.89,0.25,161,5.40
Marist,Metro Atlantic,32-23,0.582,179,7.45,169,5.18,209,7.79,137,3.20,0.22,261,3.92
Butler,Big East,31-20,0.608,180,7.44,194,4.67,253,7.14,122,3.35,0.12,262,3.91
Radford,Big South,27-32,0.458,181,7.43,173,5.08,195,7.94,158,2.96,0.12,166,5.31
